Quinteto,T2I,T2C,T3I,T3C,T1I,T1C,AST,REB,REBD,REBO,PER,ROB,TAP,TAPC,FC,FR,T2CC,T3CC,T1CC,REBDC,REBOC,+/-,Posesiones
B. MANEL - D. FERRERAS CAMARERO - J. CERDAN PALACIOS - N. KUSTURICA - O. FILBA GONZALEZ,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0
B. MANEL - D. FERRERAS CAMARERO - J. CERDAN PALACIOS - N. KUSTURICA - P. CRUZ URBANEJA,2,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1.0
B. MANEL - D. FERRERAS CAMARERO - J. CERDAN PALACIOS - J. SIFTAR - O. FILBA GONZALEZ,2,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,2,2,3.0
J. BOUMTJE BOUMTJE - J. CERDAN PALACIOS - J. MARTIN LOPEZ - N. KUSTURICA - P. CRUZ URBANEJA,0,0,2,0,0,0,0,2,1,1,1,0,0,0,1,0,2,0,0,1,0,-4,2.0
B. MANEL - D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - N. KUSTURICA - O. FILBA GONZALEZ,7,2,1,0,0,0,2,6,5,1,4,1,1,0,3,3,2,2,2,5,5,-8,11.0
C. GAYE - J. BOUMTJE BOUMTJE - J. SIFTAR - N. KUSTURICA - O. FILBA GONZALEZ,5,2,2,1,0,0,1,6,4,2,2,0,0,0,3,2,1,0,1,2,2,4,7.0
B. MANEL - J. BOUMTJE BOUMTJE - J. SIFTAR - N. KUSTURICA - O. FILBA GONZALEZ,1,0,0,0,2,2,0,2,2,0,1,0,1,0,0,2,0,0,0,1,3,2,2.88
D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - J. CERDAN PALACIOS - N. KUSTURICA - O. FILBA GONZALEZ,2,1,1,1,0,0,2,0,0,0,0,1,0,0,0,2,1,0,1,1,0,2,3.0
B. MANEL - J. BOUMTJE BOUMTJE - N. KUSTURICA - O. FILBA GONZALEZ - P. CRUZ URBANEJA,3,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0,2.0
C. GAYE - D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - N. KUSTURICA - O. FILBA GONZALEZ,1,0,1,0,2,2,0,1,1,0,0,0,0,1,1,1,1,0,0,2,1,0,2.88
D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - J. CERDAN PALACIOS - N. KUSTURICA - P. CRUZ URBANEJA,4,4,0,0,2,1,1,1,0,1,0,1,0,0,2,1,2,0,3,0,1,2,3.88
J. BOUMTJE BOUMTJE - J. CERDAN PALACIOS - J. MARTIN LOPEZ - N. KUSTURICA - O. FILBA GONZALEZ,2,2,2,0,0,0,0,2,1,1,1,1,0,0,2,0,0,0,0,1,0,4,4.0
D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - J. CERDAN PALACIOS - J. SIFTAR - O. FILBA GONZALEZ,2,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,3.0
D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - J. CERDAN PALACIOS - J. SIFTAR - P. CRUZ URBANEJA,3,1,3,2,2,0,2,3,2,1,0,0,0,0,1,0,1,0,2,3,1,4,5.88
J. BOUMTJE BOUMTJE - J. CERDAN PALACIOS - J. SIFTAR - N. KUSTURICA - O. FILBA GONZALEZ,1,1,2,0,0,0,1,2,1,1,1,1,0,0,0,0,1,0,2,1,1,-2,3.0
B. MANEL - D. FERRERAS CAMARERO - J. CERDAN PALACIOS - J. MARTIN LOPEZ - P. CRUZ URBANEJA,4,2,0,0,0,0,2,0,0,0,0,2,0,0,1,1,0,1,1,2,1,0,4.0
B. MANEL - D. FERRERAS CAMARERO - J. CERDAN PALACIOS - J. SIFTAR - P. CRUZ URBANEJA,6,3,2,1,2,1,2,5,2,3,1,2,0,1,1,1,0,0,0,2,0,10,6.880000000000001
J. BOUMTJE BOUMTJE - J. CERDAN PALACIOS - J. SIFTAR - N. KUSTURICA - P. CRUZ URBANEJA,1,1,3,0,3,1,0,4,2,2,0,0,0,0,0,3,0,1,0,1,0,0,3.3200000000000003
D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - J. CERDAN PALACIOS - J. MARTIN LOPEZ - P. CRUZ URBANEJA,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0
J. BOUMTJE BOUMTJE - J. CERDAN PALACIOS - N. KUSTURICA - O. FILBA GONZALEZ - P. CRUZ URBANEJA,0,0,0,0,0,0,0,1,1,0,2,0,0,0,1,0,0,0,1,0,0,-1,2.0
