Quinteto,T2I,T2C,T3I,T3C,T1I,T1C,AST,REB,REBD,REBO,PER,ROB,TAP,TAPC,FC,FR,T2CC,T3CC,T1CC,REBDC,REBOC,+/-,Posesiones
B. MANEL - J. BOUMTJE BOUMTJE - J. SIFTAR - N. KUSTURICA - P. CRUZ URBANEJA,2,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1.0
C. GAYE - D. FERRERAS CAMARERO - J. CERDAN PALACIOS - J. SIFTAR - O. FILBA GONZALEZ,0,0,1,1,0,0,1,2,2,0,2,0,0,0,3,0,3,0,0,0,1,-3,3.0
B. MANEL - D. FERRERAS CAMARERO - J. CERDAN PALACIOS - N. KUSTURICA - P. CRUZ URBANEJA,3,3,2,1,1,1,2,2,2,0,1,3,0,0,1,1,0,0,0,1,0,10,6.44
B. MANEL - D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - N. KUSTURICA - O. FILBA GONZALEZ,6,3,2,1,3,1,4,3,2,1,2,2,2,0,3,2,3,0,0,4,2,4,10.32
A. PUIG LLUCH - B. MANEL - J. CERDAN PALACIOS - J. MARTIN LOPEZ - P. CRUZ URBANEJA,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2,0,-3,2.0
B. MANEL - D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - N. KUSTURICA - P. CRUZ URBANEJA,5,1,2,1,2,1,2,6,3,3,1,0,0,0,1,0,0,0,0,1,0,6,5.88
B. MANEL - D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - J. CERDAN PALACIOS - O. FILBA GONZALEZ,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,1.0
C. GAYE - J. CERDAN PALACIOS - J. MARTIN LOPEZ - J. SIFTAR - N. KUSTURICA,4,3,2,0,0,0,2,2,0,2,4,1,0,0,1,1,1,0,2,1,0,2,8.0
C. GAYE - D. FERRERAS CAMARERO - J. CERDAN PALACIOS - J. MARTIN LOPEZ - J. SIFTAR,0,0,3,1,0,0,1,1,1,0,0,1,0,0,2,1,0,0,0,2,1,3,3.0
C. GAYE - J. BOUMTJE BOUMTJE - J. SIFTAR - N. KUSTURICA - O. FILBA GONZALEZ,13,6,3,0,1,0,3,8,2,6,4,2,0,0,5,6,4,1,2,5,0,-1,14.440000000000001
B. MANEL - J. BOUMTJE BOUMTJE - J. SIFTAR - N. KUSTURICA - O. FILBA GONZALEZ,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1.0
C. GAYE - D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - N. KUSTURICA - O. FILBA GONZALEZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-2,0.0
C. GAYE - J. BOUMTJE BOUMTJE - J. SIFTAR - N. KUSTURICA - P. CRUZ URBANEJA,1,1,3,2,2,2,3,3,2,1,0,0,0,0,1,1,3,0,0,0,1,4,3.88
B. MANEL - J. BOUMTJE BOUMTJE - J. MARTIN LOPEZ - N. KUSTURICA - P. CRUZ URBANEJA,2,1,0,0,2,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1.88
B. MANEL - D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - J. CERDAN PALACIOS - P. CRUZ URBANEJA,4,0,3,1,2,1,1,9,6,3,2,0,0,1,1,3,3,0,2,4,4,-4,6.88
B. MANEL - D. FERRERAS CAMARERO - J. CERDAN PALACIOS - J. MARTIN LOPEZ - P. CRUZ URBANEJA,2,0,3,0,0,0,0,3,1,2,4,0,0,1,2,0,3,0,2,3,1,-8,7.0
B. MANEL - D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - J. SIFTAR - P. CRUZ URBANEJA,4,1,0,0,0,0,0,3,1,2,1,1,1,0,0,1,2,0,0,1,1,-2,3.0
B. MANEL - D. FERRERAS CAMARERO - J. CERDAN PALACIOS - J. SIFTAR - P. CRUZ URBANEJA,3,1,0,0,2,2,0,3,1,2,1,0,0,0,0,1,0,0,0,0,0,4,2.88
B. MANEL - D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - O. FILBA GONZALEZ - P. CRUZ URBANEJA,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,2.0
