Quinteto,T2I,T2C,T3I,T3C,T1I,T1C,AST,REB,REBD,REBO,PER,ROB,TAP,TAPC,FC,FR,T2CC,T3CC,T1CC,REBDC,REBOC,+/-,Posesiones
A. PUIG LLUCH - E. DESTOM ALGER - J. CERDAN PALACIOS - N. KUSTURICA - P. CRUZ URBANEJA,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.88
A. PUIG LLUCH - D. FERRERAS CAMARERO - E. DESTOM ALGER - J. BOUMTJE BOUMTJE - O. FILBA GONZALEZ,5,4,3,1,0,0,4,5,2,3,0,1,0,0,3,0,1,0,3,0,1,6,5.0
A. PUIG LLUCH - E. DESTOM ALGER - J. CERDAN PALACIOS - J. MARTIN LOPEZ - N. KUSTURICA,1,0,1,0,2,2,0,3,2,1,0,1,0,1,1,2,0,0,1,1,0,1,1.88
B. MANEL - J. CERDAN PALACIOS - J. MARTIN LOPEZ - N. KUSTURICA - P. CRUZ URBANEJA,2,2,1,0,1,1,2,2,2,0,1,0,0,0,0,2,2,0,0,1,0,1,4.4399999999999995
D. FERRERAS CAMARERO - E. DESTOM ALGER - J. BOUMTJE BOUMTJE - J. MARTIN LOPEZ - O. FILBA GONZALEZ,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0.44
A. PUIG LLUCH - E. DESTOM ALGER - J. CERDAN PALACIOS - J. SIFTAR - P. CRUZ URBANEJA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,-2,1.0
C. GAYE - D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - J. MARTIN LOPEZ - O. FILBA GONZALEZ,3,2,0,0,0,0,2,1,1,0,0,0,0,0,1,1,1,0,0,1,2,2,3.0
B. MANEL - E. DESTOM ALGER - J. MARTIN LOPEZ - N. KUSTURICA - O. FILBA GONZALEZ,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1.0
A. PUIG LLUCH - B. MANEL - E. DESTOM ALGER - J. MARTIN LOPEZ - O. FILBA GONZALEZ,1,1,1,0,0,0,2,2,2,0,0,1,0,0,0,0,0,0,1,1,1,1,2.0
C. GAYE - J. BOUMTJE BOUMTJE - J. SIFTAR - N. KUSTURICA - P. CRUZ URBANEJA,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1,2.0
A. PUIG LLUCH - C. GAYE - E. DESTOM ALGER - J. CERDAN PALACIOS - P. CRUZ URBANEJA,2,2,1,0,8,4,2,3,1,2,1,1,0,0,1,4,1,2,0,0,0,0,5.52
C. GAYE - J. CERDAN PALACIOS - J. MARTIN LOPEZ - N. KUSTURICA - P. CRUZ URBANEJA,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.88
C. GAYE - D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - J. SIFTAR - P. CRUZ URBANEJA,2,2,1,0,3,1,2,3,2,1,4,1,0,0,1,2,3,0,0,1,2,-1,7.32
C. GAYE - J. BOUMTJE BOUMTJE - J. MARTIN LOPEZ - N. KUSTURICA - P. CRUZ URBANEJA,2,1,0,0,2,1,2,4,3,1,0,0,1,0,0,2,0,0,0,0,0,3,1.88
A. PUIG LLUCH - B. MANEL - E. DESTOM ALGER - J. SIFTAR - P. CRUZ URBANEJA,2,2,1,0,2,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,5,2.88
B. MANEL - J. CERDAN PALACIOS - J. MARTIN LOPEZ - N. KUSTURICA - O. FILBA GONZALEZ,8,5,6,1,2,1,6,7,3,4,1,1,2,0,2,3,2,3,1,4,2,0,11.88
A. PUIG LLUCH - B. MANEL - D. FERRERAS CAMARERO - J. CERDAN PALACIOS - J. SIFTAR,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,2,1.0
B. MANEL - D. FERRERAS CAMARERO - J. CERDAN PALACIOS - J. SIFTAR - P. CRUZ URBANEJA,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.88
C. GAYE - D. FERRERAS CAMARERO - E. DESTOM ALGER - J. SIFTAR - P. CRUZ URBANEJA,3,1,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,2,1.0
A. PUIG LLUCH - C. GAYE - D. FERRERAS CAMARERO - E. DESTOM ALGER - J. MARTIN LOPEZ,6,4,2,0,2,1,2,5,2,3,2,1,1,0,0,2,2,0,0,1,0,5,7.880000000000001
A. PUIG LLUCH - E. DESTOM ALGER - J. BOUMTJE BOUMTJE - J. SIFTAR - P. CRUZ URBANEJA,0,0,2,1,0,0,1,2,1,1,3,1,0,0,0,1,1,0,0,0,0,1,4.0
B. MANEL - J. CERDAN PALACIOS - J. SIFTAR - N. KUSTURICA - P. CRUZ URBANEJA,7,5,2,0,2,2,4,7,5,2,3,0,0,1,1,1,3,0,0,2,0,6,10.88
