Quinteto,T2I,T2C,T3I,T3C,T1I,T1C,AST,REB,REBD,REBO,PER,ROB,TAP,TAPC,FC,FR,T2CC,T3CC,T1CC,REBDC,REBOC,+/-,Posesiones
B. MANEL - D. FERRERAS CAMARERO - J. CERDAN PALACIOS - J. SIFTAR - O. FILBA GONZALEZ,10,8,2,0,6,4,5,13,10,3,4,3,0,1,1,8,2,0,0,1,1,16,15.64
E. DESTOM ALGER - J. BOUMTJE BOUMTJE - J. SIFTAR - N. KUSTURICA - P. CRUZ URBANEJA,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.88
B. MANEL - D. FERRERAS CAMARERO - J. CERDAN PALACIOS - J. MARTIN LOPEZ - O. FILBA GONZALEZ,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1.0
A. PUIG LLUCH - E. DESTOM ALGER - J. BOUMTJE BOUMTJE - J. MARTIN LOPEZ - N. KUSTURICA,1,0,0,0,0,0,0,4,3,1,1,0,0,0,0,1,0,0,0,0,0,0,1.0
E. DESTOM ALGER - J. BOUMTJE BOUMTJE - J. MARTIN LOPEZ - N. KUSTURICA - P. CRUZ URBANEJA,4,3,1,1,4,4,2,4,4,0,1,0,1,0,1,3,3,1,1,1,2,3,7.76
A. PUIG LLUCH - C. GAYE - E. DESTOM ALGER - J. CERDAN PALACIOS - J. MARTIN LOPEZ,7,3,1,0,5,4,0,8,3,5,3,2,1,1,4,3,1,0,2,1,1,6,8.2
D. FERRERAS CAMARERO - E. DESTOM ALGER - J. BOUMTJE BOUMTJE - J. SIFTAR - P. CRUZ URBANEJA,5,4,2,1,0,0,1,1,1,0,0,3,1,0,1,1,3,0,0,2,1,5,7.0
C. GAYE - J. BOUMTJE BOUMTJE - J. MARTIN LOPEZ - N. KUSTURICA - P. CRUZ URBANEJA,7,6,2,0,2,1,1,3,2,1,0,4,0,0,0,1,2,1,0,1,1,6,8.88
C. GAYE - J. BOUMTJE BOUMTJE - J. MARTIN LOPEZ - N. KUSTURICA - O. FILBA GONZALEZ,6,6,1,0,4,2,3,5,5,0,1,2,0,0,3,2,3,1,0,2,2,5,9.76
B. MANEL - J. CERDAN PALACIOS - J. MARTIN LOPEZ - N. KUSTURICA - O. FILBA GONZALEZ,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0
B. MANEL - J. CERDAN PALACIOS - J. SIFTAR - N. KUSTURICA - O. FILBA GONZALEZ,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.88
A. PUIG LLUCH - E. DESTOM ALGER - J. CERDAN PALACIOS - J. MARTIN LOPEZ - P. CRUZ URBANEJA,3,2,1,1,2,0,2,2,1,1,1,0,0,0,1,1,2,0,1,1,1,2,4.88
B. MANEL - D. FERRERAS CAMARERO - J. CERDAN PALACIOS - J. SIFTAR - P. CRUZ URBANEJA,6,5,1,0,2,2,1,2,2,0,1,4,0,0,2,1,0,0,1,2,2,11,8.879999999999999
A. PUIG LLUCH - C. GAYE - D. FERRERAS CAMARERO - J. CERDAN PALACIOS - J. SIFTAR,2,2,0,0,2,1,1,2,2,0,1,0,0,0,1,0,1,0,0,0,1,3,3.88
C. GAYE - J. CERDAN PALACIOS - J. MARTIN LOPEZ - N. KUSTURICA - O. FILBA GONZALEZ,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1.0
