Quinteto;PTS;PTSC;T2I;T2C;T3I;T3C;T1I;T1C;AST;REB;REBD;REBO;PER;ROB;TAP;TAPC;FC;FR;T2CC;T3CC;T1CC;REBDC;REBOC;+/-;Posesiones
A. PUIG LLUCH - J. SIFTAR - P. CRUZ URBANEJA;17;7;5;4;5;2;5;3;2;6;2;4;5;3;0;0;2;6;2;1;0;2;2;10;13.2
B. MANEL - E. DESTOM ALGER - J. SIFTAR;5;0;2;2;1;0;2;1;0;1;0;1;0;1;0;0;1;1;0;0;0;1;1;5;2.88
B. MANEL - E. DESTOM ALGER - P. CRUZ URBANEJA;5;0;2;2;1;0;2;1;0;1;0;1;0;1;0;0;1;1;0;0;0;1;1;5;2.88
B. MANEL - J. SIFTAR - P. CRUZ URBANEJA;66;17;38;23;9;3;15;11;10;27;14;13;8;10;2;2;5;11;5;2;1;11;6;49;48.599999999999994
E. DESTOM ALGER - J. SIFTAR - P. CRUZ URBANEJA;29;14;13;9;8;3;4;2;2;9;4;5;4;7;1;0;3;6;7;0;0;4;3;15;21.759999999999998
A. PUIG LLUCH - J. BOUMTJE BOUMTJE - O. FILBA GONZALEZ;16;8;7;5;4;2;0;0;5;8;4;4;0;1;0;0;4;0;2;0;4;0;2;8;7.0
A. PUIG LLUCH - J. BOUMTJE BOUMTJE - P. CRUZ URBANEJA;8;5;2;1;3;2;0;0;2;5;3;2;3;1;0;0;1;1;2;0;1;0;1;3;6.0
A. PUIG LLUCH - O. FILBA GONZALEZ - P. CRUZ URBANEJA;7;3;3;2;2;1;0;0;1;4;3;1;0;1;0;0;2;0;1;0;1;1;1;4;4.0
B. MANEL - J. BOUMTJE BOUMTJE - O. FILBA GONZALEZ;42;32;29;14;15;3;8;5;12;28;21;7;16;10;5;0;10;10;9;3;5;21;15;10;56.51
B. MANEL - J. BOUMTJE BOUMTJE - P. CRUZ URBANEJA;26;20;25;7;6;3;6;3;6;24;12;12;5;2;2;1;5;6;7;0;6;9;7;6;26.639999999999997
B. MANEL - O. FILBA GONZALEZ - P. CRUZ URBANEJA;13;5;9;5;2;1;0;0;3;5;3;2;1;2;0;0;4;0;1;0;3;3;1;8;10.0
J. BOUMTJE BOUMTJE - O. FILBA GONZALEZ - P. CRUZ URBANEJA;41;24;19;11;14;6;3;1;10;21;12;9;5;1;1;0;11;4;7;2;4;8;6;17;30.32
A. PUIG LLUCH - J. CERDAN PALACIOS - J. MARTIN LOPEZ;19;13;12;5;4;1;9;6;2;14;7;7;4;3;1;2;6;6;3;1;4;5;2;6;16.959999999999997
A. PUIG LLUCH - J. CERDAN PALACIOS - P. CRUZ URBANEJA;32;21;13;10;6;2;15;6;5;11;6;5;4;3;0;0;4;9;4;4;1;6;2;11;24.599999999999998
A. PUIG LLUCH - J. MARTIN LOPEZ - P. CRUZ URBANEJA;18;13;9;6;5;2;2;0;3;8;5;3;1;1;1;0;2;1;3;2;1;4;5;5;12.879999999999999
B. MANEL - J. CERDAN PALACIOS - J. MARTIN LOPEZ;44;56;28;14;18;4;7;4;13;25;15;10;11;6;2;1;7;11;14;8;4;17;6;-12;50.080000000000005
B. MANEL - J. CERDAN PALACIOS - P. CRUZ URBANEJA;106;58;61;35;25;7;21;15;20;52;33;19;19;16;0;4;11;19;17;6;6;27;10;48;95.24
B. MANEL - J. MARTIN LOPEZ - P. CRUZ URBANEJA;28;40;20;9;11;2;7;4;7;16;9;7;9;4;0;1;4;8;12;4;4;12;2;-12;36.08
J. CERDAN PALACIOS - J. MARTIN LOPEZ - P. CRUZ URBANEJA;47;53;26;14;19;4;11;7;13;25;14;11;11;5;0;1;8;11;17;5;4;16;3;-6;49.84
J. CERDAN PALACIOS - J. SIFTAR - P. CRUZ URBANEJA;84;39;44;26;20;7;18;11;16;39;24;15;15;11;1;2;9;13;12;4;3;19;11;45;71.91
A. PUIG LLUCH - B. MANEL - N. KUSTURICA;6;0;3;3;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;6;3.0
A. PUIG LLUCH - J. CERDAN PALACIOS - N. KUSTURICA;8;1;4;3;1;0;4;2;0;4;3;1;0;1;0;1;1;2;0;0;1;2;0;7;5.76
A. PUIG LLUCH - N. KUSTURICA - P. CRUZ URBANEJA;6;0;3;3;0;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;6;3.88
B. MANEL - J. CERDAN PALACIOS - N. KUSTURICA;59;29;31;22;13;3;8;6;16;27;20;7;7;5;2;1;5;7;8;4;1;13;5;30;47.519999999999996
B. MANEL - N. KUSTURICA - P. CRUZ URBANEJA;53;16;34;19;8;3;8;6;12;25;16;9;6;4;1;1;4;6;6;1;1;10;2;37;42.519999999999996
J. CERDAN PALACIOS - N. KUSTURICA - P. CRUZ URBANEJA;79;49;35;27;21;5;18;10;18;36;24;12;14;9;2;1;11;12;18;3;4;15;8;30;65.92
A. PUIG LLUCH - J. CERDAN PALACIOS - O. FILBA GONZALEZ;2;0;1;1;1;0;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;1;0;2;2.0
B. MANEL - J. CERDAN PALACIOS - O. FILBA GONZALEZ;44;18;23;16;12;2;10;6;12;24;17;7;5;9;2;1;5;12;4;3;1;11;6;26;37.400000000000006
J. CERDAN PALACIOS - O. FILBA GONZALEZ - P. CRUZ URBANEJA;14;16;9;5;6;1;3;1;3;12;7;5;5;1;1;0;6;4;6;1;1;4;3;-2;16.32
A. PUIG LLUCH - C. GAYE - D. FERRERAS CAMARERO;14;6;8;6;2;0;4;2;3;7;4;3;3;1;1;0;1;2;3;0;0;1;1;8;11.76
A. PUIG LLUCH - C. GAYE - E. DESTOM ALGER;55;24;26;17;10;3;19;12;7;26;12;14;6;7;4;1;7;11;5;4;2;5;6;31;36.36
A. PUIG LLUCH - C. GAYE - J. MARTIN LOPEZ;47;16;24;15;9;3;11;8;5;23;11;12;5;6;4;1;6;7;4;2;2;5;6;31;30.839999999999996
A. PUIG LLUCH - D. FERRERAS CAMARERO - E. DESTOM ALGER;23;13;11;8;7;2;2;1;7;10;4;6;5;6;1;0;4;2;4;0;5;2;1;10;17.88
C. GAYE - D. FERRERAS CAMARERO - E. DESTOM ALGER;11;4;9;5;2;0;2;1;2;7;2;5;2;2;1;0;0;2;2;0;0;1;0;7;8.879999999999999
C. GAYE - D. FERRERAS CAMARERO - J. MARTIN LOPEZ;35;20;21;13;11;2;6;3;10;24;14;10;6;3;4;0;8;9;8;1;1;7;5;15;30.63
C. GAYE - E. DESTOM ALGER - J. MARTIN LOPEZ;50;16;25;15;11;4;11;8;6;23;11;12;6;6;4;1;6;7;4;2;2;6;6;34;34.839999999999996
D. FERRERAS CAMARERO - E. DESTOM ALGER - J. MARTIN LOPEZ;13;11;6;4;5;1;3;2;3;5;2;3;6;5;1;0;4;2;3;1;2;3;0;2;15.319999999999999
A. PUIG LLUCH - C. GAYE - J. CERDAN PALACIOS;23;14;11;7;2;0;15;9;3;13;6;7;5;3;1;1;6;7;3;2;2;1;2;9;17.599999999999998
A. PUIG LLUCH - C. GAYE - J. SIFTAR;5;2;2;2;0;0;2;1;1;2;2;0;1;0;0;0;1;0;1;0;0;0;1;3;3.88
C. GAYE - D. FERRERAS CAMARERO - J. CERDAN PALACIOS;28;29;14;8;10;3;4;3;7;13;9;4;5;2;0;0;10;5;9;3;2;8;4;-1;26.759999999999998
C. GAYE - D. FERRERAS CAMARERO - J. SIFTAR;26;38;17;9;7;2;6;2;7;16;9;7;13;3;0;1;11;5;11;3;7;7;9;-12;32.64
C. GAYE - J. CERDAN PALACIOS - J. SIFTAR;33;33;18;12;10;2;4;3;8;15;10;5;12;6;2;0;10;2;10;3;4;9;8;0;36.76
A. PUIG LLUCH - E. DESTOM ALGER - J. CERDAN PALACIOS;27;20;13;7;4;1;19;10;4;16;7;9;6;4;1;2;8;11;5;2;4;4;2;7;22.359999999999996
C. GAYE - E. DESTOM ALGER - J. CERDAN PALACIOS;18;12;9;5;2;0;13;8;2;11;4;7;4;3;1;1;5;7;2;2;2;1;1;6;13.719999999999999
C. GAYE - J. CERDAN PALACIOS - J. MARTIN LOPEZ;35;15;15;9;12;3;9;8;7;17;7;10;7;5;1;1;10;8;4;1;4;6;2;20;27.959999999999997
E. DESTOM ALGER - J. CERDAN PALACIOS - J. MARTIN LOPEZ;25;10;13;6;6;2;11;7;3;18;9;9;4;4;1;2;7;7;3;0;4;5;3;15;18.839999999999996
A. PUIG LLUCH - C. GAYE - P. CRUZ URBANEJA;19;13;7;6;4;1;8;4;3;8;4;4;1;2;1;0;2;4;2;3;0;1;4;6;11.52
C. GAYE - E. DESTOM ALGER - P. CRUZ URBANEJA;21;13;11;7;4;1;8;4;3;11;5;6;1;3;1;0;2;4;2;3;0;2;4;8;13.52
C. GAYE - J. CERDAN PALACIOS - P. CRUZ URBANEJA;27;28;14;8;7;1;12;8;8;11;5;6;5;5;1;0;4;8;8;4;0;6;4;-1;25.279999999999998
E. DESTOM ALGER - J. CERDAN PALACIOS - P. CRUZ URBANEJA;15;15;5;4;2;1;12;4;4;5;2;3;3;1;0;0;3;6;4;2;1;2;1;0;12.28
A. PUIG LLUCH - C. GAYE - N. KUSTURICA;17;3;6;4;3;2;4;3;2;5;3;2;0;2;1;0;1;2;0;1;0;2;1;14;8.76
A. PUIG LLUCH - E. DESTOM ALGER - N. KUSTURICA;19;4;8;4;4;2;8;5;2;12;8;4;1;3;1;1;2;5;0;1;1;4;1;15;12.520000000000001
A. PUIG LLUCH - J. MARTIN LOPEZ - N. KUSTURICA;19;4;8;4;4;2;6;5;2;12;8;4;1;3;1;1;2;5;0;1;1;3;1;15;11.64
C. GAYE - E. DESTOM ALGER - N. KUSTURICA;20;3;8;4;5;3;4;3;3;6;4;2;1;2;1;0;1;2;0;1;0;4;1;17;13.76
C. GAYE - J. MARTIN LOPEZ - N. KUSTURICA;66;29;30;22;14;4;16;10;14;25;16;9;7;10;2;0;7;9;8;3;4;9;5;37;49.04
E. DESTOM ALGER - J. MARTIN LOPEZ - N. KUSTURICA;43;16;16;9;10;5;12;10;7;21;15;6;3;4;2;1;5;9;4;2;2;7;4;27;28.279999999999998
C. GAYE - J. MARTIN LOPEZ - P. CRUZ URBANEJA;40;19;18;14;10;2;8;6;7;18;11;7;0;6;2;0;3;6;5;3;0;4;5;21;24.52
