Quinteto,T2I,T2C,T3I,T3C,T1I,T1C,AST,REB,REBD,REBO,PER,ROB,TAP,TAPC,FC,FR,T2CC,T3CC,T1CC,REBDC,REBOC,+/-,Posesiones
J. BOUMTJE BOUMTJE - J. CERDAN PALACIOS - J. SIFTAR - O. FILBA GONZALEZ - P. CRUZ URBANEJA,2,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,2,1.0
D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - J. CERDAN PALACIOS - N. KUSTURICA - O. FILBA GONZALEZ,3,1,4,1,0,0,2,3,1,2,0,1,0,0,2,2,1,1,4,3,3,-4,5.0
C. GAYE - D. FERRERAS CAMARERO - J. CERDAN PALACIOS - J. SIFTAR - O. FILBA GONZALEZ,2,1,1,0,0,0,0,1,1,0,1,0,0,0,2,0,1,1,2,2,0,-5,4.0
D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - N. KUSTURICA - O. FILBA GONZALEZ - P. CRUZ URBANEJA,4,3,8,4,0,0,4,6,4,2,0,0,0,0,3,1,1,1,0,3,2,13,10.0
J. BOUMTJE BOUMTJE - J. CERDAN PALACIOS - J. SIFTAR - N. KUSTURICA - P. CRUZ URBANEJA,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3,2.0
D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - J. CERDAN PALACIOS - J. SIFTAR - P. CRUZ URBANEJA,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,-2,1.0
D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - J. CERDAN PALACIOS - N. KUSTURICA - P. CRUZ URBANEJA,2,1,3,1,2,1,1,2,1,1,1,1,0,0,2,1,3,0,0,2,1,0,5.88
D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - J. CERDAN PALACIOS - O. FILBA GONZALEZ - P. CRUZ URBANEJA,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,2,0,0,1,0,-4,2.0
J. BOUMTJE BOUMTJE - J. CERDAN PALACIOS - J. SIFTAR - N. KUSTURICA - O. FILBA GONZALEZ,2,1,2,1,4,3,2,3,2,1,2,1,0,0,0,2,5,0,0,2,0,-2,6.76
C. GAYE - D. FERRERAS CAMARERO - J. CERDAN PALACIOS - O. FILBA GONZALEZ - P. CRUZ URBANEJA,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,-2,2.0
C. GAYE - D. FERRERAS CAMARERO - J. CERDAN PALACIOS - J. SIFTAR - P. CRUZ URBANEJA,4,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,2,1,-1,3.0
C. GAYE - D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - J. SIFTAR - O. FILBA GONZALEZ,3,1,1,0,1,0,1,4,1,3,5,0,0,1,2,2,2,1,5,0,3,-10,6.44
D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - J. SIFTAR - N. KUSTURICA - O. FILBA GONZALEZ,8,5,4,0,3,1,3,4,3,1,2,3,0,0,2,3,1,2,1,7,4,2,14.32
D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - J. CERDAN PALACIOS - J. SIFTAR - O. FILBA GONZALEZ,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,-2,2.0
J. BOUMTJE BOUMTJE - J. CERDAN PALACIOS - N. KUSTURICA - O. FILBA GONZALEZ - P. CRUZ URBANEJA,4,3,5,1,3,1,3,8,4,4,1,0,1,0,2,3,3,1,0,2,2,1,7.32
