Quinteto;PTS;PTSC;T2I;T2C;T3I;T3C;T1I;T1C;AST;REB;REBD;REBO;PER;ROB;TAP;TAPC;FC;FR;T2CC;T3CC;T1CC;REBDC;REBOC;+/-;Posesiones
B. MANEL - D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - J. CERDAN PALACIOS - P. CRUZ URBANEJA;4;8;4;0;3;1;2;1;1;9;6;3;2;0;0;1;1;3;3;0;2;4;4;-4;6.88
B. MANEL - D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - J. MARTIN LOPEZ - O. FILBA GONZALEZ;6;2;2;2;5;0;3;2;0;7;5;2;3;1;0;0;1;2;1;0;0;4;1;4;9.32
B. MANEL - D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - J. SIFTAR - P. CRUZ URBANEJA;2;4;4;1;0;0;0;0;0;3;1;2;1;1;1;0;0;1;2;0;0;1;1;-2;3.0
B. MANEL - D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - N. KUSTURICA - O. FILBA GONZALEZ;16;20;15;6;4;1;3;1;7;10;8;2;8;4;3;0;6;5;6;2;2;10;7;-4;26.32
B. MANEL - D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - N. KUSTURICA - P. CRUZ URBANEJA;6;0;5;1;2;1;2;1;2;6;3;3;1;0;0;0;1;0;0;0;0;1;0;6;5.88
B. MANEL - D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - O. FILBA GONZALEZ - P. CRUZ URBANEJA;6;2;3;3;0;0;0;0;2;0;0;0;1;1;0;0;1;0;0;0;2;0;0;4;4.0
B. MANEL - D. FERRERAS CAMARERO - J. CERDAN PALACIOS - J. MARTIN LOPEZ - O. FILBA GONZALEZ;2;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;2;1.0
B. MANEL - D. FERRERAS CAMARERO - J. CERDAN PALACIOS - J. MARTIN LOPEZ - P. CRUZ URBANEJA;20;30;15;6;9;2;4;2;5;12;6;6;8;4;0;1;4;5;9;3;3;9;2;-10;27.76
B. MANEL - D. FERRERAS CAMARERO - J. CERDAN PALACIOS - J. SIFTAR - O. FILBA GONZALEZ;22;4;12;9;3;0;6;4;5;13;10;3;4;5;0;1;2;8;2;0;0;3;3;18;18.64
B. MANEL - D. FERRERAS CAMARERO - J. CERDAN PALACIOS - J. SIFTAR - P. CRUZ URBANEJA;27;1;15;9;3;1;8;6;3;10;5;5;3;6;0;1;3;4;0;0;1;4;2;26;19.52
B. MANEL - D. FERRERAS CAMARERO - J. CERDAN PALACIOS - N. KUSTURICA - O. FILBA GONZALEZ;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1.0
B. MANEL - D. FERRERAS CAMARERO - J. CERDAN PALACIOS - N. KUSTURICA - P. CRUZ URBANEJA;10;0;5;3;2;1;1;1;2;4;3;1;1;3;0;0;1;1;0;0;0;2;1;10;7.44
B. MANEL - E. DESTOM ALGER - J. MARTIN LOPEZ - N. KUSTURICA - O. FILBA GONZALEZ;2;2;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1.0
B. MANEL - J. BOUMTJE BOUMTJE - J. CERDAN PALACIOS - J. MARTIN LOPEZ - N. KUSTURICA;0;2;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1;0;1;0;0;0;2;-2;1.0
B. MANEL - J. BOUMTJE BOUMTJE - J. MARTIN LOPEZ - N. KUSTURICA - P. CRUZ URBANEJA;3;3;2;1;0;0;2;1;0;1;0;1;0;0;0;0;0;1;1;0;1;0;0;0;1.88
B. MANEL - J. BOUMTJE BOUMTJE - J. SIFTAR - N. KUSTURICA - O. FILBA GONZALEZ;6;5;4;2;4;0;2;2;1;7;6;1;4;3;2;0;0;3;1;1;0;5;5;1;11.87
B. MANEL - J. BOUMTJE BOUMTJE - J. SIFTAR - N. KUSTURICA - P. CRUZ URBANEJA;0;0;2;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;1;1;0;1.0
B. MANEL - J. BOUMTJE BOUMTJE - N. KUSTURICA - O. FILBA GONZALEZ - P. CRUZ URBANEJA;0;0;3;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;2;0;0;2.0
B. MANEL - J. CERDAN PALACIOS - J. MARTIN LOPEZ - N. KUSTURICA - O. FILBA GONZALEZ;14;14;9;5;6;1;2;1;6;9;5;4;1;1;2;0;2;3;2;3;1;5;2;0;12.88
B. MANEL - J. CERDAN PALACIOS - J. MARTIN LOPEZ - N. KUSTURICA - P. CRUZ URBANEJA;5;4;2;2;1;0;1;1;2;2;2;0;1;0;0;0;0;2;2;0;0;1;0;1;4.44
B. MANEL - J. CERDAN PALACIOS - J. SIFTAR - N. KUSTURICA - O. FILBA GONZALEZ;1;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0.88
B. MANEL - J. CERDAN PALACIOS - J. SIFTAR - N. KUSTURICA - P. CRUZ URBANEJA;23;9;12;9;3;1;2;2;6;9;7;2;3;1;0;1;1;1;3;1;0;3;0;14;16.88
C. GAYE - D. FERRERAS CAMARERO - E. DESTOM ALGER - J. SIFTAR - P. CRUZ URBANEJA;2;0;3;1;0;0;0;0;0;2;0;2;0;1;0;0;0;0;0;0;0;0;0;2;1.0
C. GAYE - D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - J. MARTIN LOPEZ - O. FILBA GONZALEZ;12;9;11;6;1;0;2;0;4;12;8;4;4;0;3;0;4;3;4;0;1;2;4;3;12.87
C. GAYE - D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - J. SIFTAR - O. FILBA GONZALEZ;2;12;3;1;1;0;1;0;1;4;1;3;5;0;0;1;2;2;2;1;5;0;3;-10;6.44
C. GAYE - D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - J. SIFTAR - P. CRUZ URBANEJA;5;6;2;2;1;0;3;1;2;3;2;1;4;1;0;0;1;2;3;0;0;1;2;-1;7.32
C. GAYE - D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - N. KUSTURICA - O. FILBA GONZALEZ;2;4;1;0;1;0;2;2;0;1;1;0;0;0;0;1;1;1;1;0;2;2;1;-2;2.88
C. GAYE - D. FERRERAS CAMARERO - J. CERDAN PALACIOS - J. MARTIN LOPEZ - J. SIFTAR;3;0;0;0;3;1;0;0;1;1;1;0;0;1;0;0;2;1;0;0;0;2;1;3;3.0
C. GAYE - D. FERRERAS CAMARERO - J. CERDAN PALACIOS - J. MARTIN LOPEZ - P. CRUZ URBANEJA;11;7;4;3;5;1;2;2;3;6;3;3;0;1;0;0;2;3;2;1;0;2;0;4;6.88
