Quinteto,T2I,T2C,T3I,T3C,T1I,T1C,AST,REB,REBD,REBO,PER,ROB,TAP,TAPC,FC,FR,T2CC,T3CC,T1CC,REBDC,REBOC,+/-,Posesiones
C. GAYE - J. CERDAN PALACIOS - J. SIFTAR - N. KUSTURICA - O. FILBA GONZALEZ,3,3,2,0,2,2,0,5,3,2,1,1,1,0,0,0,0,1,0,0,1,5,4.88
B. MANEL - D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - J. CERDAN PALACIOS - J. MARTIN LOPEZ,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0
C. GAYE - J. BOUMTJE BOUMTJE - J. SIFTAR - N. KUSTURICA - O. FILBA GONZALEZ,6,4,3,1,1,1,4,12,10,2,2,1,4,0,3,5,1,0,1,2,3,9,9.44
B. MANEL - J. BOUMTJE BOUMTJE - J. SIFTAR - N. KUSTURICA - O. FILBA GONZALEZ,3,2,4,0,0,0,1,4,3,1,2,2,0,0,0,0,1,1,0,4,1,-1,8.0
C. GAYE - D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - J. MARTIN LOPEZ - O. FILBA GONZALEZ,5,3,0,0,2,0,1,7,4,3,1,0,2,0,1,1,0,0,0,0,2,6,3.88
D. FERRERAS CAMARERO - J. BOUMTJE BOUMTJE - J. CERDAN PALACIOS - J. SIFTAR - O. FILBA GONZALEZ,1,1,1,0,0,0,1,3,2,1,1,0,0,0,0,1,0,0,0,0,0,2,2.0
J. BOUMTJE BOUMTJE - J. CERDAN PALACIOS - J. SIFTAR - N. KUSTURICA - O. FILBA GONZALEZ,8,6,5,2,2,2,3,9,4,5,0,0,1,0,0,2,1,1,0,0,0,15,8.88
C. GAYE - D. FERRERAS CAMARERO - J. CERDAN PALACIOS - J. SIFTAR - P. CRUZ URBANEJA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
E. DESTOM ALGER - J. CERDAN PALACIOS - J. MARTIN LOPEZ - N. KUSTURICA - O. FILBA GONZALEZ,2,1,3,1,2,1,1,5,3,2,0,1,0,0,1,1,0,0,0,2,1,6,3.88
A. PUIG LLUCH - C. GAYE - E. DESTOM ALGER - J. MARTIN LOPEZ - P. CRUZ URBANEJA,5,4,3,1,0,0,1,5,3,2,0,1,1,0,1,0,1,1,0,1,4,6,6.0
C. GAYE - J. BOUMTJE BOUMTJE - J. MARTIN LOPEZ - N. KUSTURICA - O. FILBA GONZALEZ,2,1,2,0,2,1,1,3,1,2,0,0,0,0,1,0,2,0,2,1,1,-3,2.88
B. MANEL - D. FERRERAS CAMARERO - J. CERDAN PALACIOS - J. MARTIN LOPEZ - P. CRUZ URBANEJA,9,4,6,2,4,2,3,9,5,4,4,2,0,0,1,4,6,2,0,4,0,-2,16.76
C. GAYE - D. FERRERAS CAMARERO - J. CERDAN PALACIOS - J. MARTIN LOPEZ - P. CRUZ URBANEJA,4,3,5,1,2,2,3,6,3,3,0,1,0,0,2,3,2,1,0,2,0,4,6.880000000000001
B. MANEL - J. BOUMTJE BOUMTJE - J. CERDAN PALACIOS - J. MARTIN LOPEZ - N. KUSTURICA,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,2,-2,1.0
