Quinteto;PTS;PTSC;T2I;T2C;T3I;T3C;T1I;T1C;AST;REB;REBD;REBO;PER;ROB;TAP;TAPC;FC;FR;T2CC;T3CC;T1CC;REBDC;REBOC;+/-;Posesiones
E. DESTOM ALGER - J. CERDAN PALACIOS;33;20;15;8;7;2;21;11;5;21;10;11;6;5;1;2;9;12;5;2;4;6;3;13;26.239999999999995
C. GAYE - P. CRUZ URBANEJA;79;55;36;24;17;5;25;16;19;35;21;14;11;12;3;0;7;17;18;6;1;10;13;24;61.0
C. GAYE - N. KUSTURICA;127;70;63;40;30;9;28;20;29;65;43;22;21;17;8;1;21;27;22;5;11;23;17;57;104.32
E. DESTOM ALGER - N. KUSTURICA;46;18;18;10;11;5;16;11;7;22;16;6;3;4;2;1;5;10;5;2;2;9;4;28;33.04
J. MARTIN LOPEZ - N. KUSTURICA;115;69;54;37;30;7;29;20;26;58;38;20;14;14;5;1;17;22;20;7;8;21;12;46;90.75999999999999
D. FERRERAS CAMARERO - O. FILBA GONZALEZ;133;107;78;46;42;10;21;11;38;75;52;23;33;19;6;3;36;32;28;9;24;42;31;26;139.23
J. BOUMTJE BOUMTJE - N. KUSTURICA;237;171;124;72;73;20;54;33;56;134;86;48;40;27;14;1;44;59;52;14;25;60;43;66;212.74999999999994
J. BOUMTJE BOUMTJE - J. SIFTAR;154;112;80;46;53;15;30;17;34;96;60;36;38;19;10;1;22;43;36;8;16;40;30;42;148.18
J. BOUMTJE BOUMTJE - J. CERDAN PALACIOS;106;92;45;27;45;14;20;10;23;64;38;26;18;8;2;1;19;21;29;6;16;28;19;14;90.78999999999999
D. FERRERAS CAMARERO - P. CRUZ URBANEJA;159;105;88;46;47;17;28;16;31;78;44;34;27;24;2;3;25;26;37;6;13;40;22;54;140.30999999999997
D. FERRERAS CAMARERO - N. KUSTURICA;88;63;49;25;30;10;15;8;24;38;25;13;13;14;3;1;20;17;16;6;13;32;20;25;85.6
N. KUSTURICA - O. FILBA GONZALEZ;189;137;104;60;66;16;35;21;49;111;70;41;32;23;14;1;40;43;36;15;20;60;37;52;176.39
J. SIFTAR - O. FILBA GONZALEZ;124;88;73;45;36;6;24;16;27;82;53;29;31;17;8;2;24;34;23;9;15;33;24;36;121.55
J. SIFTAR - N. KUSTURICA;150;88;78;48;45;11;30;21;36;84;54;30;33;18;10;1;17;35;27;8;10;36;22;62;139.19
C. GAYE - J. BOUMTJE BOUMTJE;105;81;62;38;22;5;26;14;28;70;46;24;25;11;8;2;24;31;27;4;15;19;21;24;96.42999999999999
C. GAYE - O. FILBA GONZALEZ;80;77;53;30;19;4;15;8;19;59;38;21;23;6;8;2;28;22;23;5;16;18;18;3;80.58999999999999
J. MARTIN LOPEZ - J. SIFTAR;14;4;7;4;8;2;0;0;5;6;3;3;6;3;0;0;3;3;1;0;2;5;1;10;18.0
